Visitor/Neutral,PTS,Home/Neutral,PTS
Houston Rockets,135,Golden State Warriors,134
Utah Jazz,117,Cleveland Cavaliers,91
Dallas Mavericks,93,Boston Celtics,114
Indiana Pacers,119,Chicago Bulls,116
Brooklyn Nets,109,Memphis Grizzlies,100
Washington Wizards,109,Miami Heat,115
Orlando Magic,103,Minnesota Timberwolves,120
Atlanta Hawks,112,Milwaukee Bucks,144
Los Angeles Clippers,121,Phoenix Suns,111
New York Knicks,119,Los Angeles Lakers,112
Oklahoma City Thunder,111,Portland Trail Blazers,109
Charlotte Hornets,110,Denver Nuggets,123
Utah Jazz,110,Detroit Pistons,105
Dallas Mavericks,100,Philadelphia 76ers,106
New Orleans Pelicans,133,Cleveland Cavaliers,98
Toronto Raptors,123,Milwaukee Bucks,116
Memphis Grizzlies,88,San Antonio Spurs,108
Houston Rockets,101,Portland Trail Blazers,110
Golden State Warriors,127,Sacramento Kings,123
Brooklyn Nets,117,Chicago Bulls,100
Orlando Magic,96,Los Angeles Clippers,106
Los Angeles Lakers,86,Minnesota Timberwolves,108
Miami Heat,82,Atlanta Hawks,106
Washington Wizards,116,Oklahoma City Thunder,98
Indiana Pacers,105,Toronto Raptors,121
Charlotte Hornets,119,Phoenix Suns,113
San Antonio Spurs,119,Detroit Pistons,107
Brooklyn Nets,95,Boston Celtics,116
Denver Nuggets,113,Houston Rockets,125
Utah Jazz,102,Milwaukee Bucks,114
